,Unnamed: 0,age,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration
1406,1406,44,16219,0.05,0.03,4251073336,650,Yes,Bachelor or equivalent,Male,Yes,Married,106,1,3,59,Non-technology Related Job,95,SC,13,47,No,No,0.48,4397,549
1407,1407,44,16219,0.05,0.03,4251073336,650,Yes,Bachelor or equivalent,Male,Yes,Married,106,1,3,59,Non-technology Related Job,95,SC,13,47,No,No,0.48,1467,733
1408,1408,74,127120,0.03,0.0,4251053269,651,Yes,Bachelor or equivalent,Female,Yes,Married,44,2,1,77,Non-technology Related Job,268,TN,210,62,No,No,0.94,5088,848
1409,1409,74,127120,0.03,0.0,4251053269,651,Yes,Bachelor or equivalent,Female,Yes,Married,44,2,1,77,Non-technology Related Job,268,TN,210,62,No,No,0.94,3000,1000
1410,1410,22,125149,0.05,0.01,4251089090,652,Yes,Master or equivalent,Male,Yes,Single,52,0,7,18,Non-technology Related Job,128,FL,214,172,No,No,0.15,4034,806
1411,1411,22,125149,0.05,0.01,4251089090,652,Yes,Master or equivalent,Male,Yes,Single,52,0,7,18,Non-technology Related Job,128,FL,214,172,No,No,0.15,2425,606
1412,1412,52,236049,0.03,0.02,4251054102,653,No,Master or equivalent,Female,Yes,Single,110,1,4,36,Others,300,HI,411,187,No,No,0.61,2706,902
1413,1413,52,236049,0.03,0.02,4251054102,653,No,Master or equivalent,Female,Yes,Single,110,1,4,36,Others,300,HI,411,187,No,No,0.61,2760,460
1414,1414,68,234078,0.05,0.03,4251041026,654,Yes,High School or below,Female,No,Married,117,0,2,77,Non-technology Related Job,160,NV,414,47,No,Yes,0.82,4294,858
1415,1415,68,234078,0.05,0.03,4251041026,654,Yes,High School or below,Female,No,Married,117,0,2,77,Non-technology Related Job,160,NV,414,47,No,Yes,0.82,3915,489
1416,1416,31,94979,0.03,0.0,4251026960,655,Yes,High School or below,Male,Yes,Single,55,1,7,95,Others,333,NH,111,62,No,No,0.27,3637,606
1417,1417,31,94979,0.03,0.0,4251026960,655,Yes,High School or below,Male,Yes,Single,55,1,7,95,Others,333,NH,111,62,No,No,0.27,2752,917
1418,1418,31,94979,0.03,0.0,4251026960,655,Yes,High School or below,Male,Yes,Single,55,1,7,95,Others,333,NH,111,62,No,No,0.27,1029,1029
1419,1419,46,93007,0.05,0.01,4251070298,656,Yes,High School or below,Male,Yes,Married,63,0,5,36,Non-technology Related Job,193,VA,114,172,No,No,0.48,4402,628
1420,1420,46,93007,0.05,0.01,4251070298,656,Yes,High School or below,Male,Yes,Married,63,0,5,36,Non-technology Related Job,193,VA,114,172,No,No,0.48,4426,553
1421,1421,77,203908,0.04,0.02,4251071964,657,Yes,High School or below,Female,Yes,Married,0,1,2,54,Others,365,WV,311,187,No,No,0.94,5819,969
1422,1422,77,203908,0.04,0.02,4251071964,657,Yes,High School or below,Female,Yes,Married,0,1,2,54,Others,365,WV,311,187,No,No,0.94,4540,648
1423,1423,25,201937,0.06,0.03,4251089034,658,Yes,Bachelor or equivalent,Male,Yes,Single,8,3,0,95,Non-technology Related Job,225,IA,315,47,No,No,0.15,3013,376
1424,1424,25,201937,0.06,0.03,4251089034,658,Yes,Bachelor or equivalent,Male,Yes,Single,8,3,0,95,Non-technology Related Job,225,IA,315,47,No,No,0.15,2896,579
1425,1425,55,62837,0.04,0.0,4251093344,659,Yes,Bachelor or equivalent,Female,No,Single,66,1,5,13,Others,398,KY,12,62,No,No,0.61,3547,591
1426,1426,55,62837,0.04,0.0,4251093344,659,Yes,Bachelor or equivalent,Female,No,Single,66,1,5,13,Others,398,KY,12,62,No,No,0.61,5849,649
1427,1427,71,60866,0.06,0.01,4251092240,660,Yes,Master or equivalent,Female,Yes,Single,73,3,3,53,Non-technology Related Job,258,ND,15,172,No,No,0.82,4059,811
1428,1428,71,60866,0.06,0.01,4251092240,660,Yes,Master or equivalent,Female,Yes,Single,73,3,3,53,Non-technology Related Job,258,ND,15,172,No,No,0.82,2191,730
1429,1429,33,171767,0.04,0.02,4251089651,661,Yes,Master or equivalent,Male,Yes,Single,11,0,0,72,Others,430,OH,212,187,No,No,0.27,6150,683
1430,1430,33,171767,0.04,0.02,4251089651,661,Yes,Master or equivalent,Male,Yes,Single,11,0,0,72,Others,430,OH,212,187,No,No,0.27,6349,793
1431,1431,33,171767,0.04,0.02,4251089651,661,Yes,Master or equivalent,Male,Yes,Single,11,0,0,72,Others,430,OH,212,187,No,No,0.27,620,620
1432,1432,49,169796,0.06,0.03,4251019660,662,Yes,High School or below,Male,Yes,Married,19,3,6,12,Non-technology Related Job,291,AK,215,47,Yes,No,0.48,3896,974
1433,1433,49,169796,0.06,0.03,4251019660,662,Yes,High School or below,Male,Yes,Married,19,3,6,12,Non-technology Related Job,291,AK,215,47,Yes,No,0.48,3301,660
1434,1434,12,30696,0.04,0.0,4251081022,663,Yes,High School or below,Female,Yes,Married,77,0,4,31,Others,463,AR,412,62,No,No,0.94,4985,997
1435,1435,12,30696,0.04,0.0,4251081022,663,Yes,High School or below,Female,Yes,Married,77,0,4,31,Others,463,AR,412,62,No,No,0.94,3104,1034
1436,1436,28,28725,0.06,0.01,4251010351,664,Yes,High School or below,Male,Yes,Single,84,3,1,71,Non-technology Related Job,323,MA,416,172,No,No,0.15,2625,656
1437,1437,28,28725,0.06,0.01,4251010351,664,Yes,High School or below,Male,Yes,Single,84,3,1,71,Non-technology Related Job,323,MA,416,172,No,No,0.15,4740,592
1438,1438,28,28725,0.06,0.01,4251010351,664,Yes,High School or below,Male,Yes,Single,84,3,1,71,Non-technology Related Job,323,MA,416,172,No,No,0.15,1111,1111
1439,1439,58,139625,0.05,0.02,4251011112,665,Yes,High School or below,Female,Yes,Married,22,0,7,90,Others,495,MN,113,187,No,No,0.61,4380,730
1440,1440,58,139625,0.05,0.02,4251011112,665,Yes,High School or below,Female,Yes,Married,22,0,7,90,Others,495,MN,113,187,No,No,0.61,3402,850
1441,1441,74,137654,0.07,0.03,4251069955,666,Yes,Bachelor or equivalent,Female,Yes,Single,30,2,4,30,Non-technology Related Job,356,SC,116,47,No,No,0.82,2132,426
1442,1442,74,137654,0.07,0.03,4251069955,666,Yes,Bachelor or equivalent,Female,Yes,Single,30,2,4,30,Non-technology Related Job,356,SC,116,47,No,No,0.82,5931,988
1443,1443,36,248555,0.05,0.0,4251038143,667,Yes,Bachelor or equivalent,Male,Yes,Single,87,0,2,49,Others,28,SD,313,62,No,No,0.28,1899,949
1444,1444,36,248555,0.05,0.0,4251038143,667,Yes,Bachelor or equivalent,Male,Yes,Single,87,0,2,49,Others,28,SD,313,62,No,No,0.28,3555,711
1445,1445,52,246584,0.07,0.01,4251055795,668,Yes,Bachelor or equivalent,Male,No,Married,95,2,7,89,Non-technology Related Job,388,DE,316,172,No,No,0.49,1205,602
1446,1446,52,246584,0.07,0.01,4251055795,668,Yes,Bachelor or equivalent,Male,No,Married,95,2,7,89,Non-technology Related Job,388,DE,316,172,No,No,0.49,1113,371
1447,1447,14,107484,0.05,0.02,4251032154,669,Yes,Master or equivalent,Female,Yes,Married,33,3,5,8,Others,61,GA,13,187,No,Yes,0.94,4152,519
1448,1448,14,107484,0.05,0.02,4251032154,669,Yes,Master or equivalent,Female,Yes,Married,33,3,5,8,Others,61,GA,13,187,No,Yes,0.94,7973,885
1449,1449,30,105513,0.07,0.03,4251073681,670,Yes,High School or below,Male,Yes,Married,40,2,2,48,Non-technology Related Job,421,NE,16,47,No,No,0.15,635,317
1450,1450,30,105513,0.07,0.03,4251073681,670,Yes,High School or below,Male,Yes,Married,40,2,2,48,Non-technology Related Job,421,NE,16,47,No,No,0.15,4511,501
1451,1451,61,216413,0.05,0.0,4251094701,671,Yes,High School or below,Female,Yes,Married,98,3,0,67,Others,93,NH,213,62,No,No,0.61,987,329
1452,1452,61,216413,0.05,0.0,4251094701,671,Yes,High School or below,Female,Yes,Married,98,3,0,67,Others,93,NH,213,62,No,No,0.61,5765,720
1453,1453,77,214442,0.07,0.01,4251016139,672,Yes,High School or below,Female,Yes,Single,106,2,5,7,Non-technology Related Job,453,VA,217,172,No,No,0.82,369,369
1454,1454,77,214442,0.07,0.01,4251016139,672,Yes,High School or below,Female,Yes,Single,106,2,5,7,Non-technology Related Job,453,VA,217,172,No,No,0.82,6379,911
1455,1455,39,75343,0.06,0.02,4251091639,673,Yes,High School or below,Male,No,Single,44,3,3,26,Others,126,WA,414,187,No,No,0.28,419,209
1456,1456,39,75343,0.06,0.02,4251091639,673,Yes,High School or below,Male,No,Single,44,3,3,26,Others,126,WA,414,187,No,No,0.28,7400,672
1457,1457,55,73372,0.0,0.03,4251099292,674,Yes,High School or below,Female,No,Married,51,1,0,66,Non-technology Related Job,486,IN,417,47,No,No,0.49,3887,971
1458,1458,55,73372,0.0,0.03,4251099292,674,Yes,High School or below,Female,No,Married,51,1,0,66,Non-technology Related Job,486,IN,417,47,No,No,0.49,5142,857
1459,1459,17,184272,0.06,0.0,4251098571,675,Yes,Bachelor or equivalent,Female,Yes,Single,109,2,6,84,Others,158,KS,114,62,No,No,0.94,3252,650
1460,1460,17,184272,0.06,0.0,4251098571,675,Yes,Bachelor or equivalent,Female,Yes,Single,109,2,6,84,Others,158,KS,114,62,No,No,0.94,1943,647
1461,1461,33,182301,0.0,0.01,4251071075,676,Yes,Bachelor or equivalent,Male,Yes,Married,116,1,3,25,Non-technology Related Job,18,NC,117,172,No,Yes,0.15,3642,520
1462,1462,33,182301,0.0,0.01,4251071075,676,Yes,Bachelor or equivalent,Male,Yes,Married,116,1,3,25,Non-technology Related Job,18,NC,117,172,No,Yes,0.15,4679,935
1463,1463,63,43202,0.06,0.02,4251018317,677,Yes,Bachelor or equivalent,Female,Yes,Married,54,2,1,43,Others,191,OH,314,187,No,No,0.61,4899,699
1464,1464,63,43202,0.06,0.02,4251018317,677,Yes,Bachelor or equivalent,Female,Yes,Married,54,2,1,43,Others,191,OH,314,187,No,No,0.61,4132,826
1465,1465,79,41231,0.0,0.03,4251008424,678,Yes,PhD or equivalent,Female,Yes,Single,62,1,6,84,Non-technology Related Job,51,AK,318,47,No,No,0.82,2110,703
1466,1466,79,41231,0.0,0.03,4251008424,678,Yes,PhD or equivalent,Female,Yes,Single,62,1,6,84,Non-technology Related Job,51,AK,318,47,No,No,0.82,4356,622
1467,1467,42,152131,0.06,0.0,4251060102,679,Yes,High School or below,Male,Yes,Single,0,2,4,2,Others,223,AZ,15,62,No,No,0.28,3567,713
1468,1468,42,152131,0.06,0.0,4251060102,679,Yes,High School or below,Male,Yes,Single,0,2,4,2,Others,223,AZ,15,62,No,No,0.28,2436,812
1469,1469,58,150160,0.0,0.01,4251049232,680,Yes,High School or below,Female,Yes,Single,7,0,2,43,Non-technology Related Job,84,MD,18,172,No,No,0.49,2213,1106
1470,1470,58,150160,0.0,0.01,4251049232,680,Yes,High School or below,Female,Yes,Single,7,0,2,43,Non-technology Related Job,84,MD,18,172,No,No,0.49,3122,520
1471,1471,20,11060,0.07,0.01,4251075648,681,Yes,High School or below,Male,Yes,Single,65,2,7,61,Others,256,MI,215,187,No,No,0.94,2434,811
1472,1472,20,11060,0.07,0.01,4251075648,681,Yes,High School or below,Male,Yes,Single,65,2,7,61,Others,256,MI,215,187,No,No,0.94,515,515
1473,1473,36,9089,0.01,0.03,4251090133,682,Yes,High School or below,Male,No,Married,73,0,5,2,Non-technology Related Job,116,RI,218,47,No,No,0.16,6538,934
1474,1474,36,9089,0.01,0.03,4251090133,682,Yes,High School or below,Male,No,Married,73,0,5,2,Non-technology Related Job,116,RI,218,47,No,No,0.16,2746,915
1475,1475,66,119990,0.07,0.03,4251062874,683,Yes,High School or below,Female,Yes,Married,11,1,2,20,Others,288,SD,415,62,No,No,0.61,1882,627
1476,1476,66,119990,0.07,0.03,4251062874,683,Yes,High School or below,Female,Yes,Married,11,1,2,20,Others,288,SD,415,62,No,No,0.61,2771,554
1477,1477,14,118019,0.01,0.01,4251059317,684,Yes,Bachelor or equivalent,Female,Yes,Single,18,0,0,61,Non-technology Related Job,149,DE,419,172,No,No,0.82,2297,765
1478,1478,14,118019,0.01,0.01,4251059317,684,Yes,Bachelor or equivalent,Female,Yes,Single,18,0,0,61,Non-technology Related Job,149,DE,419,172,No,No,0.82,370,185
1479,1479,14,118019,0.01,0.01,4251059317,684,Yes,Bachelor or equivalent,Female,Yes,Single,18,0,0,61,Non-technology Related Job,149,DE,419,172,No,No,0.82,110,110
1480,1480,45,228919,0.07,0.01,4251072129,685,Yes,Bachelor or equivalent,Male,Yes,Married,76,1,5,79,Others,321,FL,116,187,No,No,0.28,2365,788
1481,1481,45,228919,0.07,0.01,4251072129,685,Yes,Bachelor or equivalent,Male,Yes,Married,76,1,5,79,Others,321,FL,116,187,No,No,0.28,3841,960
1482,1482,60,226948,0.01,0.03,4251078554,686,Yes,Master or equivalent,Female,Yes,Single,83,0,3,20,Non-technology Related Job,181,MT,119,47,No,No,0.49,4723,674
1483,1483,60,226948,0.01,0.03,4251078554,686,Yes,Master or equivalent,Female,Yes,Single,83,0,3,20,Non-technology Related Job,181,MT,119,47,No,No,0.49,813,813
1484,1484,23,87848,0.07,0.03,4251019574,687,Yes,PhD or equivalent,Male,No,Single,21,1,0,38,Others,354,NV,316,62,No,No,0.95,3608,721
1485,1485,23,87848,0.07,0.03,4251019574,687,Yes,PhD or equivalent,Male,No,Single,21,1,0,38,Others,354,NV,316,62,No,No,0.95,7406,925
1486,1486,23,87848,0.07,0.03,4251019574,687,Yes,PhD or equivalent,Male,No,Single,21,1,0,38,Others,354,NV,316,62,No,No,0.95,413,413
1487,1487,39,85877,0.02,0.01,4251034216,688,Yes,High School or below,Male,No,Married,29,3,6,78,Non-technology Related Job,214,VT,319,172,No,No,0.16,4092,1023
1488,1488,39,85877,0.02,0.01,4251034216,688,Yes,High School or below,Male,No,Married,29,3,6,78,Non-technology Related Job,214,VT,319,172,No,No,0.16,3933,655
1489,1489,69,196778,0.0,0.01,4251017252,689,Yes,High School or below,Female,Yes,Married,87,1,3,97,Others,386,WA,16,187,No,No,0.61,5666,944
1490,1490,69,196778,0.0,0.01,4251017252,689,Yes,High School or below,Female,Yes,Married,87,1,3,97,Others,386,WA,16,187,No,No,0.61,1991,663
1491,1491,17,194807,0.02,0.03,4251016800,690,Yes,High School or below,Female,Yes,Married,94,3,1,37,Non-technology Related Job,246,IN,20,47,No,No,0.82,3333,666
1492,1492,17,194807,0.02,0.03,4251016800,690,Yes,High School or below,Female,Yes,Married,94,3,1,37,Non-technology Related Job,246,IN,20,47,No,No,0.82,2951,737
1493,1493,17,194807,0.02,0.03,4251016800,690,Yes,High School or below,Female,Yes,Married,94,3,1,37,Non-technology Related Job,246,IN,20,47,No,No,0.82,1108,1108
1494,1494,47,55707,0.0,0.03,4251056096,691,Yes,High School or below,Male,Yes,Married,32,0,7,56,Others,419,IA,216,62,No,Yes,0.28,4257,851
1495,1495,47,55707,0.0,0.03,4251056096,691,Yes,High School or below,Male,Yes,Married,32,0,7,56,Others,419,IA,216,62,No,Yes,0.28,3576,715
1496,1496,63,53736,0.02,0.01,4251047000,692,Yes,Bachelor or equivalent,Female,Yes,Single,40,3,4,96,Non-technology Related Job,279,NY,220,172,No,No,0.49,2871,574
1497,1497,63,53736,0.02,0.01,4251047000,692,Yes,Bachelor or equivalent,Female,Yes,Single,40,3,4,96,Non-technology Related Job,279,NY,220,172,No,No,0.49,1949,974
1498,1498,26,164637,0.0,0.01,4251031773,693,Yes,Bachelor or equivalent,Male,No,Single,97,0,2,15,Others,451,ND,417,187,No,No,0.95,2786,557
1499,1499,26,164637,0.0,0.01,4251031773,693,Yes,Bachelor or equivalent,Male,No,Single,97,0,2,15,Others,451,ND,417,187,No,No,0.95,2192,548
1500,1500,26,164637,0.0,0.01,4251031773,693,Yes,Bachelor or equivalent,Male,No,Single,97,0,2,15,Others,451,ND,417,187,No,No,0.95,200,200
1501,1501,41,162665,0.02,0.03,4251089231,694,Yes,Master or equivalent,Male,Yes,Married,105,2,7,55,Non-technology Related Job,311,AL,420,47,No,No,0.16,6067,866
1502,1502,41,162665,0.02,0.03,4251089231,694,Yes,Master or equivalent,Male,Yes,Married,105,2,7,55,Non-technology Related Job,311,AL,420,47,No,No,0.16,4421,631
1503,1503,72,23566,0.0,0.03,4251019148,695,Yes,Master or equivalent,Female,Yes,Single,43,0,5,74,Others,484,AZ,117,62,No,No,0.61,2575,643
1504,1504,72,23566,0.0,0.03,4251019148,695,Yes,Master or equivalent,Female,Yes,Single,43,0,5,74,Others,484,AZ,117,62,No,No,0.61,5768,721
1505,1505,72,23566,0.0,0.03,4251019148,695,Yes,Master or equivalent,Female,Yes,Single,43,0,5,74,Others,484,AZ,117,62,No,No,0.61,771,771
1506,1506,20,21595,0.03,0.01,4251052631,696,Yes,High School or below,Female,Yes,Married,50,2,2,14,Non-technology Related Job,344,MD,120,172,No,No,0.83,4860,810
1507,1507,20,21595,0.03,0.01,4251052631,696,Yes,High School or below,Female,Yes,Married,50,2,2,14,Non-technology Related Job,344,MD,120,172,No,No,0.83,6632,947
1508,1508,50,132495,0.01,0.01,4251098377,697,Yes,High School or below,Male,Yes,Married,108,3,0,33,Others,16,MI,317,187,No,No,0.28,3120,390
1509,1509,50,132495,0.01,0.01,4251098377,697,Yes,High School or below,Male,Yes,Married,108,3,0,33,Others,16,MI,317,187,No,No,0.28,5233,872
1510,1510,66,130524,0.03,0.03,4251048493,698,Yes,High School or below,Female,Yes,Single,116,2,5,73,Non-technology Related Job,377,PA,321,47,No,Yes,0.49,5326,760
1511,1511,66,130524,0.03,0.03,4251048493,698,Yes,High School or below,Female,Yes,Single,116,2,5,73,Non-technology Related Job,377,PA,321,47,No,Yes,0.49,5648,806
1512,1512,28,241425,0.01,0.03,4251087947,699,No,High School or below,Male,Yes,Single,54,3,3,92,Others,49,SC,18,62,No,No,0.95,5342,763
1513,1513,28,241425,0.01,0.03,4251087947,699,No,High School or below,Male,Yes,Single,54,3,3,92,Others,49,SC,18,62,No,No,0.95,3685,526
1514,1514,44,239454,0.03,0.01,4251054666,700,Yes,Bachelor or equivalent,Male,Yes,Single,61,2,0,32,Non-technology Related Job,409,CT,21,172,No,No,0.16,4937,705
1515,1515,44,239454,0.03,0.01,4251054666,700,Yes,Bachelor or equivalent,Male,Yes,Single,61,2,0,32,Non-technology Related Job,409,CT,21,172,No,No,0.16,823,823
1516,1516,75,100354,0.01,0.01,4251082057,701,Yes,Bachelor or equivalent,Female,No,Single,119,3,6,51,Others,81,FL,218,187,Yes,No,0.62,1141,1141
1517,1517,75,100354,0.01,0.01,4251082057,701,Yes,Bachelor or equivalent,Female,No,Single,119,3,6,51,Others,81,FL,218,187,Yes,No,0.62,3198,639
1518,1518,23,98383,0.03,0.03,4251065159,702,Yes,Master or equivalent,Female,No,Married,6,1,3,91,Non-technology Related Job,442,MT,221,47,No,No,0.83,3677,1225
1519,1519,23,98383,0.03,0.03,4251065159,702,Yes,Master or equivalent,Female,No,Married,6,1,3,91,Non-technology Related Job,442,MT,221,47,No,No,0.83,4819,602
1520,1520,53,209283,0.02,0.03,4251056042,703,Yes,Master or equivalent,Male,Yes,Married,64,3,1,9,Others,114,NV,418,62,No,No,0.28,5855,731
1521,1521,53,209283,0.02,0.03,4251056042,703,Yes,Master or equivalent,Male,Yes,Married,64,3,1,9,Others,114,NV,418,62,No,No,0.28,2904,726
1522,1522,69,207312,0.04,0.01,4251019993,704,Yes,High School or below,Female,Yes,Single,72,1,6,50,Non-technology Related Job,474,UT,422,172,No,No,0.49,4371,624
1523,1523,69,207312,0.04,0.01,4251019993,704,Yes,High School or below,Female,Yes,Single,72,1,6,50,Non-technology Related Job,474,UT,422,172,No,No,0.49,8982,816
1524,1524,31,68213,0.02,0.01,4251096299,705,Yes,High School or below,Male,Yes,Single,10,2,4,68,Others,147,VA,119,186,No,No,0.95,2868,956
1525,1525,31,68213,0.02,0.01,4251096299,705,Yes,High School or below,Male,Yes,Single,10,2,4,68,Others,147,VA,119,186,No,No,0.95,2697,539
1526,1526,47,66242,0.04,0.03,4251035777,706,Yes,High School or below,Male,Yes,Single,17,1,1,9,Non-technology Related Job,7,IL,122,46,No,No,0.16,3393,565
1527,1527,47,66242,0.04,0.03,4251035777,706,Yes,High School or below,Male,Yes,Single,17,1,1,9,Non-technology Related Job,7,IL,122,46,No,No,0.16,290,290
1528,1528,77,177142,0.02,0.03,4251038920,707,Yes,High School or below,Female,No,Single,75,2,7,27,Others,179,IA,319,61,No,No,0.62,4371,874
1529,1529,77,177142,0.02,0.03,4251038920,707,Yes,High School or below,Female,No,Single,75,2,7,27,Others,179,IA,319,61,No,No,0.62,3608,902
1530,1530,25,175171,0.04,0.01,4251039759,708,Yes,Bachelor or equivalent,Male,Yes,Married,83,1,5,68,Non-technology Related Job,39,NY,322,171,No,No,0.83,2360,590
1531,1531,25,175171,0.04,0.01,4251039759,708,Yes,Bachelor or equivalent,Male,Yes,Married,83,1,5,68,Non-technology Related Job,39,NY,322,171,No,No,0.83,4744,527
1532,1532,56,36071,0.02,0.01,4251073727,709,Yes,Bachelor or equivalent,Female,Yes,Married,21,2,2,86,Others,212,ND,19,186,No,No,0.28,6415,916
1533,1533,56,36071,0.02,0.01,4251073727,709,Yes,Bachelor or equivalent,Female,Yes,Married,21,2,2,86,Others,212,ND,19,186,No,No,0.28,7467,829
1534,1534,72,34100,0.04,0.03,4251052247,710,Yes,Bachelor or equivalent,Female,Yes,Single,28,0,0,27,Non-technology Related Job,72,WY,23,46,No,No,0.49,3542,590
1535,1535,72,34100,0.04,0.03,4251052247,710,Yes,Bachelor or equivalent,Female,Yes,Single,28,0,0,27,Non-technology Related Job,72,WY,23,46,No,No,0.49,4432,886
1536,1536,34,145001,0.03,0.03,4251020236,711,Yes,Master or equivalent,Male,Yes,Married,86,2,5,45,Others,244,AK,220,61,No,No,0.95,3551,887
1537,1537,34,145001,0.03,0.03,4251020236,711,Yes,Master or equivalent,Male,Yes,Married,86,2,5,45,Others,244,AK,220,61,No,No,0.95,2141,713
1538,1538,34,145001,0.03,0.03,4251020236,711,Yes,Master or equivalent,Male,Yes,Married,86,2,5,45,Others,244,AK,220,61,No,No,0.95,1247,1247
1539,1539,50,143030,0.05,0.01,4251067047,712,Yes,PhD or equivalent,Male,Yes,Single,93,0,3,86,Non-technology Related Job,104,ME,223,171,No,No,0.16,367,367
1540,1540,50,143030,0.05,0.01,4251067047,712,Yes,PhD or equivalent,Male,Yes,Single,93,0,3,86,Non-technology Related Job,104,ME,223,171,No,No,0.16,3185,796
1541,1541,12,3930,0.03,0.01,4251009885,713,Yes,High School or below,Female,Yes,Single,31,1,0,4,Others,277,MA,420,186,No,Yes,0.62,3021,755
1542,1542,12,3930,0.03,0.01,4251009885,713,Yes,High School or below,Female,Yes,Single,31,1,0,4,Others,277,MA,420,186,No,Yes,0.62,2718,679
1543,1543,28,1959,0.05,0.03,4251033670,714,Yes,High School or below,Male,Yes,Married,39,0,6,45,Non-technology Related Job,137,PA,423,46,No,No,0.83,4467,638
1544,1544,28,1959,0.05,0.03,4251033670,714,Yes,High School or below,Male,Yes,Married,39,0,6,45,Non-technology Related Job,137,PA,423,46,No,No,0.83,3302,660
1545,1545,59,112860,0.03,0.03,4251046378,715,Yes,High School or below,Female,Yes,Married,97,1,3,63,Others,309,SC,120,61,No,No,0.29,3619,904
1546,1546,59,112860,0.03,0.03,4251046378,715,Yes,High School or below,Female,Yes,Married,97,1,3,63,Others,309,SC,120,61,No,No,0.29,5164,645
1547,1547,74,110889,0.05,0.01,4251072431,716,Yes,High School or below,Female,No,Married,104,3,1,4,Others,170,CO,123,171,No,No,0.5,6489,721
1548,1548,74,110889,0.05,0.01,4251072431,716,Yes,High School or below,Female,No,Married,104,3,1,4,Others,170,CO,123,171,No,No,0.5,2708,902
1549,1549,37,221789,0.03,0.01,4251037767,717,Yes,Bachelor or equivalent,Male,Yes,Married,42,1,6,22,Others,342,DE,320,186,No,No,0.95,3802,760
1550,1550,37,221789,0.03,0.01,4251037767,717,Yes,Bachelor or equivalent,Male,Yes,Married,42,1,6,22,Others,342,DE,320,186,No,No,0.95,1799,599
1551,1551,53,219818,0.05,0.03,4251073387,718,Yes,Bachelor or equivalent,Male,Yes,Single,50,3,4,62,Others,202,MO,324,46,No,No,0.16,2050,292
1552,1552,53,219818,0.05,0.03,4251073387,718,Yes,Bachelor or equivalent,Male,Yes,Single,50,3,4,62,Others,202,MO,324,46,No,No,0.16,4372,728
1553,1553,15,80718,0.04,0.03,4251067847,719,Yes,Bachelor or equivalent,Female,Yes,Single,107,0,2,81,Others,374,NE,21,61,No,No,0.62,4825,804
1554,1554,15,80718,0.04,0.03,4251067847,719,Yes,Bachelor or equivalent,Female,Yes,Single,107,0,2,81,Others,374,NE,21,61,No,No,0.62,2232,558
1555,1555,31,78747,0.06,0.01,4251061565,720,Yes,Master or equivalent,Male,Yes,Married,115,3,7,21,Others,235,UT,24,171,No,Yes,0.83,2406,401
1556,1556,31,78747,0.06,0.01,4251061565,720,Yes,Master or equivalent,Male,Yes,Married,115,3,7,21,Others,235,UT,24,171,No,Yes,0.83,2009,1004
1557,1557,61,189648,0.04,0.01,4251033061,721,Yes,PhD or equivalent,Female,No,Single,53,0,5,40,Others,407,VA,221,186,No,No,0.29,7760,776
1558,1558,61,189648,0.04,0.01,4251033061,721,Yes,PhD or equivalent,Female,No,Single,53,0,5,40,Others,407,VA,221,186,No,No,0.29,2023,674
1559,1559,77,187677,0.06,0.03,4251071716,722,Yes,High School or below,Female,Yes,Married,60,3,2,80,Others,267,ID,224,46,No,No,0.5,5619,936
1560,1560,77,187677,0.06,0.03,4251071716,722,Yes,High School or below,Female,Yes,Married,60,3,2,80,Others,267,ID,224,46,No,No,0.5,3481,870
1561,1561,40,48577,0.04,0.03,4251033415,723,Yes,High School or below,Male,Yes,Married,118,0,0,99,Others,440,IN,421,61,No,No,0.95,1784,892
1562,1562,40,48577,0.04,0.03,4251033415,723,Yes,High School or below,Male,Yes,Married,118,0,0,99,Others,440,IN,421,61,No,No,0.95,2686,671
1563,1563,40,48577,0.04,0.03,4251033415,723,Yes,High School or below,Male,Yes,Married,118,0,0,99,Others,440,IN,421,61,No,No,0.95,191,191
1564,1564,55,46606,0.06,0.01,4251094232,724,Yes,High School or below,Male,Yes,Single,6,2,5,39,Others,300,NM,425,171,No,No,0.16,7941,661
1565,1565,55,46606,0.06,0.01,4251094232,724,Yes,High School or below,Male,Yes,Single,6,2,5,39,Others,300,NM,425,171,No,No,0.16,1053,1053
1566,1566,18,157506,0.04,0.01,4251063147,725,Yes,High School or below,Female,Yes,Single,64,0,3,58,Others,472,NC,122,186,No,No,0.62,2946,982
1567,1567,18,157506,0.04,0.01,4251063147,725,Yes,High School or below,Female,Yes,Single,64,0,3,58,Others,472,NC,122,186,No,No,0.62,3896,974
1568,1568,34,155535,0.06,0.03,4251051256,726,Yes,Bachelor or equivalent,Male,Yes,Single,71,2,0,98,Others,332,WY,125,46,Yes,No,0.83,4486,498
1569,1569,34,155535,0.06,0.03,4251051256,726,Yes,Bachelor or equivalent,Male,Yes,Single,71,2,0,98,Others,332,WY,125,46,Yes,No,0.83,2097,699
1570,1570,34,155535,0.06,0.03,4251051256,726,Yes,Bachelor or equivalent,Male,Yes,Single,71,2,0,98,Others,332,WY,125,46,Yes,No,0.83,490,490
